nameWithOwner;url;primaryLanguage->name;stargazers->totalCount;createdAt (UTC);repositoryAge (years);repositoryAge (days);releases->totalCount;releases/repositoryAge(days);watchers->totalCount;forks->totalCount;Total SLOC;Total linhas em branco;Total linhas comentários;Total LOC
CyC2018/CS-Notes;https://github.com/CyC2018/CS-Notes;Java;112090;13/02/18 14:56:24;2;966;0;0.0;5229;34920;0;0;0;0
Snailclimb/JavaGuide;https://github.com/Snailclimb/JavaGuide;Java;89062;07/05/18 13:27:00;2;883;0;0.0;4453;29942;9;2;0;11
iluwatar/java-design-patterns;https://github.com/iluwatar/java-design-patterns;Java;60992;09/08/14 16:45:18;6;2250;0;0.0;4000;18721;83280;11990;109;95284
MisterBooo/LeetCodeAnimation;https://github.com/MisterBooo/LeetCodeAnimation;Java;59671;06/12/18 08:01:22;1;670;0;0.0;2479;11017;261;21;0;282
elastic/elasticsearch;https://github.com/elastic/elasticsearch;Java;51514;08/02/10 13:20:56;10;3893;33;0.008476753146673517;2806;17225;2153923;311482;5859;2466128
spring-projects/spring-boot;https://github.com/spring-projects/spring-boot;Java;50944;19/10/12 15:02:57;7;2909;70;0.02406325197662427;3464;29730;470919;84161;1343;555108
kdn251/interviews;https://github.com/kdn251/interviews;Java;48104;14/02/17 18:19:25;3;1330;0;0.0;2577;9664;17481;3988;20;21474
doocs/advanced-java;https://github.com/doocs/advanced-java;Java;47677;06/10/18 11:38:30;2;731;0;0.0;2412;12950;0;0;0;0
ReactiveX/RxJava;https://github.com/ReactiveX/RxJava;Java;43547;08/01/13 20:11:48;7;2828;201;0.07107496463932107;2342;7081;389896;76534;2274;466435
macrozheng/mall;https://github.com/macrozheng/mall;Java;41758;04/04/18 01:11:44;2;916;1;0.001091703056768559;2000;17651;48059;13098;0;61157
spring-projects/spring-framework;https://github.com/spring-projects/spring-framework;Java;39565;08/12/10 04:04:45;9;3590;188;0.05236768802228412;3521;26576;1038126;183158;16432;1221319
google/guava;https://github.com/google/guava;Java;38957;29/05/14 16:23:17;6;2322;29;0.012489233419465978;2517;8606;667579;84973;7800;752869
square/okhttp;https://github.com/square/okhttp;Java;38373;23/07/12 13:42:55;8;2997;0;0.0;1685;8078;39596;6658;34;46272
square/retrofit;https://github.com/square/retrofit;Java;36675;06/09/10 21:39:43;10;3683;27;0.007330980179201738;1621;6524;31992;4531;146;36610
apache/dubbo;https://github.com/apache/dubbo;Java;33711;19/06/12 07:56:02;8;3031;27;0.008907951171230617;3281;19377;234881;38902;560;273803
PhilJay/MPAndroidChart;https://github.com/PhilJay/MPAndroidChart;Java;31838;25/04/14 14:29:47;6;2356;44;0.01867572156196944;1139;7958;34246;8626;32;42872
TheAlgorithms/Java;https://github.com/TheAlgorithms/Java;Java;30647;16/07/16 10:21:02;4;1543;0;0.0;1908;10448;16560;2713;6;19273
bumptech/glide;https://github.com/bumptech/glide;Java;29987;08/07/13 22:52:33;7;2647;35;0.013222516055912353;1088;5373;88632;13165;1501;101921
airbnb/lottie-android;https://github.com/airbnb/lottie-android;Java;29796;06/10/16 22:42:42;4;1461;27;0.018480492813141684;876;4667;18008;2762;170;20798
Blankj/AndroidUtilCode;https://github.com/Blankj/AndroidUtilCode;Java;27987;30/07/16 18:18:32;4;1529;115;0.07521255722694571;1183;9025;43725;5444;141;49175
zxing/zxing;https://github.com/zxing/zxing;Java;26318;12/10/11 14:07:27;8;3282;27;0.008226691042047532;1702;8644;59931;7623;132;67560
proxyee-down-org/proxyee-down;https://github.com/proxyee-down-org/proxyee-down;Java;25555;25/10/17 10:07:27;2;1077;49;0.04549675023212628;993;4630;1057;173;0;1230
JakeWharton/butterknife;https://github.com/JakeWharton/butterknife;Java;25468;05/03/13 08:18:59;7;2772;0;0.0;1093;4644;14009;2046;31;16073
crossoverJie/JCSprout;https://github.com/crossoverJie/JCSprout;Java;25289;17/12/17 09:06:50;2;1024;0;0.0;1687;6806;1705;473;0;2178
kon9chunkit/GitHub-Chinese-Top-Charts;https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts;Java;25260;05/09/19 03:01:56;1;397;0;0.0;1481;3368;0;0;0;0
netty/netty;https://github.com/netty/netty;Java;24871;09/11/10 09:22:21;9;3619;0;0.0;1846;11389;393331;56250;2498;449604
ityouknow/spring-boot-examples;https://github.com/ityouknow/spring-boot-examples;Java;23748;05/11/16 05:32:33;3;1431;0;0.0;1318;10541;4839;1400;0;6239
skylot/jadx;https://github.com/skylot/jadx;Java;23528;18/03/13 17:08:21;7;2759;13;0.004711852120333454;740;2744;75257;13226;27;88484
alibaba/arthas;https://github.com/alibaba/arthas;Java;23187;29/08/18 17:15:57;2;769;27;0.035110533159947985;1120;5005;40077;7559;213;47643
eugenp/tutorials;https://github.com/eugenp/tutorials;Java;23127;29/04/13 18:26:36;7;2717;0;0.0;1523;36601;466623;122068;307;588830
greenrobot/EventBus;https://github.com/greenrobot/EventBus;Java;22875;16/07/12 16:55:40;8;3004;5;0.0016644474034620505;1117;4422;7169;1200;24;8369
alibaba/fastjson;https://github.com/alibaba/fastjson;Java;22452;03/11/11 06:58:52;8;3260;79;0.024233128834355827;1397;5867;149858;39964;102;189825
ctripcorp/apollo;https://github.com/ctripcorp/apollo;Java;22436;04/03/16 10:24:23;4;1677;27;0.016100178890876567;1329;8004;51846;12619;57;64468
NationalSecurityAgency/ghidra;https://github.com/NationalSecurityAgency/ghidra;Java;22408;01/03/19 03:27:48;1;585;0;0.0;835;2979;1836642;284187;18217;2120896
alibaba/druid;https://github.com/alibaba/druid;Java;22319;03/11/11 05:12:51;8;3260;37;0.011349693251533743;1823;7240;373959;83496;51;457580
scwang90/SmartRefreshLayout;https://github.com/scwang90/SmartRefreshLayout;Java;21539;02/06/17 09:52:50;3;1222;8;0.006546644844517185;519;4327;3966;647;0;4613
CymChad/BaseRecyclerViewAdapterHelper;https://github.com/CymChad/BaseRecyclerViewAdapterHelper;Java;20819;10/04/16 07:40:11;4;1640;191;0.11646341463414635;565;4389;2223;489;1;2712
Netflix/Hystrix;https://github.com/Netflix/Hystrix;Java;20381;19/11/12 20:14:46;7;2878;79;0.027449617790132035;1690;4038;67635;11006;424;78643
geekxh/hello-algorithm;https://github.com/geekxh/hello-algorithm;Java;19165;29/05/20 05:47:09;0;130;0;0.0;430;3573;293;42;0;335
ReactiveX/RxAndroid;https://github.com/ReactiveX/RxAndroid;Java;19153;19/08/14 03:46:38;6;2240;18;0.008035714285714285;1043;2911;1555;287;8;1842
SeleniumHQ/selenium;https://github.com/SeleniumHQ/selenium;Java;18774;14/01/13 21:40:56;7;2822;27;0.00956768249468462;1326;5814;143661;26379;296;170072
lenve/vhr;https://github.com/lenve/vhr;Java;18747;04/01/18 08:57:51;2;1006;0;0.0;848;7861;1879;754;0;2633
google/gson;https://github.com/google/gson;Java;18608;19/03/15 18:21:20;5;2028;0;0.0;747;3509;33851;4051;197;37902
xkcoding/spring-boot-demo;https://github.com/xkcoding/spring-boot-demo;Java;18087;10/11/17 06:27:29;2;1061;0;0.0;881;6104;2112;446;0;2558
square/picasso;https://github.com/square/picasso;Java;17668;14/05/13 15:07:47;7;2702;7;0.0025906735751295338;902;3909;7997;1139;50;9136
libgdx/libgdx;https://github.com/libgdx/libgdx;Java;17485;10/08/12 19:34:38;8;2979;4;0.001342732460557234;1266;5927;347416;58677;2427;406178
seata/seata;https://github.com/seata/seata;Java;17422;28/12/18 08:37:22;1;648;28;0.043209876543209874;870;4902;112848;16662;24;129527
hollischuang/toBeTopJavaer;https://github.com/hollischuang/toBeTopJavaer;Java;17253;25/10/18 09:54:54;1;712;0;0.0;840;3956;0;0;0;0
chrisbanes/PhotoView;https://github.com/chrisbanes/PhotoView;Java;17186;17/07/12 16:39:00;8;3003;5;0.001665001665001665;663;3675;1955;351;2;2307
alibaba/easyexcel;https://github.com/alibaba/easyexcel;Java;17128;06/02/18 03:14:08;2;973;1;0.0010277492291880781;565;4439;21974;3329;144;25303
apache/kafka;https://github.com/apache/kafka;Java;17013;15/08/11 18:06:16;9;3340;0;0.0;1074;8700;482739;71830;3144;554761
qiurunze123/miaosha;https://github.com/qiurunze123/miaosha;Java;16976;14/09/18 04:36:24;2;753;0;0.0;717;4174;6218;1435;0;7653
wuyouzhuguli/SpringAll;https://github.com/wuyouzhuguli/SpringAll;Java;16895;02/05/18 02:48:44;2;888;0;0.0;782;4939;10744;2839;0;13584
halo-dev/halo;https://github.com/halo-dev/halo;Java;16836;21/03/18 12:56:52;2;930;58;0.06236559139784946;424;5636;24467;4916;3;29385
nostra13/Android-Universal-Image-Loader;https://github.com/nostra13/Android-Universal-Image-Loader;Java;16748;27/11/11 18:48:23;8;3236;0;0.0;1390;6145;12313;1412;359;13725
google/ExoPlayer;https://github.com/google/ExoPlayer;Java;16430;13/06/14 21:19:18;6;2307;2;0.0008669267446900737;872;4649;264919;28728;4439;293750
facebook/fresco;https://github.com/facebook/fresco;Java;16336;02/03/15 09:58:04;5;2045;42;0.020537897310513448;899;3655;117203;17683;395;134907
jenkinsci/jenkins;https://github.com/jenkinsci/jenkins;Java;16243;22/11/10 21:21:23;9;3606;62;0.017193566278424846;896;6252;240716;33629;2400;274396
alibaba/canal;https://github.com/alibaba/canal;Java;15890;13/01/13 10:59:52;7;2823;20;0.007084661707403472;1170;4958;18548;3513;60;22061
looly/hutool;https://github.com/looly/hutool;Java;15830;13/04/14 07:23:51;6;2368;67;0.028293918918918918;576;4820;4988;1142;2;6130
alibaba/spring-cloud-alibaba;https://github.com/alibaba/spring-cloud-alibaba;Java;15815;01/12/17 20:49:15;2;1040;16;0.015384615384615385;919;4617;31807;6574;113;38388
xuxueli/xxl-job;https://github.com/xuxueli/xxl-job;Java;15767;28/11/15 12:59:34;4;1774;29;0.016347237880496055;925;6608;7362;1485;9;8847
shuzheng/zheng;https://github.com/shuzheng/zheng;Java;15625;04/10/16 10:07:06;4;1463;0;0.0;1522;7044;20045;5538;0;25583
didi/DoraemonKit;https://github.com/didi/DoraemonKit;Java;15620;14/08/18 10:32:07;2;784;3;0.003826530612244898;368;2116;32513;5709;231;38223
zhangdaiscott/jeecg-boot;https://github.com/zhangdaiscott/jeecg-boot;Java;15556;26/11/18 10:40:00;1;680;8;0.011764705882352941;635;5964;1074;324;0;1398
bazelbuild/bazel;https://github.com/bazelbuild/bazel;Java;15453;12/06/14 16:00:38;6;2308;93;0.0402946273830156;585;2541;1008379;125707;4908;1137234
dbeaver/dbeaver;https://github.com/dbeaver/dbeaver;Java;15400;21/10/15 08:26:28;4;1812;113;0.06236203090507726;417;1390;484589;69857;329;554517
Tencent/tinker;https://github.com/Tencent/tinker;Java;15357;06/09/16 06:57:52;4;1491;33;0.022132796780684104;726;3028;46430;5918;63;52358
CarGuo/GSYVideoPlayer;https://github.com/CarGuo/GSYVideoPlayer;Java;14941;13/11/16 12:34:31;3;1423;19;0.013352073085031623;411;3271;6671;1397;14;8077
apache/skywalking;https://github.com/apache/skywalking;Java;14772;07/11/15 03:30:36;4;1795;40;0.022284122562674095;827;4182;81894;13191;295;95142
android10/Android-CleanArchitecture;https://github.com/android10/Android-CleanArchitecture;Java;14509;19/08/14 14:09:26;6;2240;0;0.0;859;3124;4491;716;1;5207
