nameWithOwner;url;stargazers/totalCount;createdAt (UTC);repositoryAge;primaryLanguage/name;releases/totalCount;watchers/totalCount;forks/totalCount
mnielsen/neural-networks-and-deep-learning;https://github.com/mnielsen/neural-networks-and-deep-learning;11662;13/11/12 13:38:24;7;Python;0;1062;5334
androguard/androguard;https://github.com/androguard/androguard;3213;12/09/14 08:48:56;6;Python;17;225;741
junyanz/pytorch-CycleGAN-and-pix2pix;https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix;13090;18/04/17 10:33:05;3;Python;0;317;3779
kivy/python-for-android;https://github.com/kivy/python-for-android;6160;28/11/11 09:02:36;8;Python;10;352;1223
dtmilano/AndroidViewClient;https://github.com/dtmilano/AndroidViewClient;1039;02/02/12 06:04:40;8;Python;13;83;278
drduh/macOS-Security-and-Privacy-Guide;https://github.com/drduh/macOS-Security-and-Privacy-Guide;17272;31/08/15 03:36:35;5;Python;0;763;1114
PegasusWang/python_data_structures_and_algorithms;https://github.com/PegasusWang/python_data_structures_and_algorithms;1688;19/04/18 23:55:04;2;Python;0;73;588
CreatCodeBuild/TensorFlow-and-DeepLearning-Tutorial;https://github.com/CreatCodeBuild/TensorFlow-and-DeepLearning-Tutorial;2316;08/10/16 06:01:45;3;Python;0;185;602
Wookai/paper-tips-and-tricks;https://github.com/Wookai/paper-tips-and-tricks;2797;09/07/15 08:31:12;5;Python;0;62;170
KeepSafe/android-resource-remover;https://github.com/KeepSafe/android-resource-remover;1241;13/02/14 18:55:12;6;Python;0;63;156
zhaoolee/StarsAndClown;https://github.com/zhaoolee/StarsAndClown;1631;15/03/19 01:14:59;1;Python;0;67;132
YonghaoHe/A-Light-and-Fast-Face-Detector-for-Edge-Devices;https://github.com/YonghaoHe/A-Light-and-Fast-Face-Detector-for-Edge-Devices;1060;23/07/19 03:29:59;1;Python;0;80;281
tensorflow/models;https://github.com/tensorflow/models;66458;05/02/16 01:15:20;4;Python;13;3022;40180
matterport/Mask_RCNN;https://github.com/matterport/Mask_RCNN;18457;19/10/17 20:28:34;2;Python;3;614;7918
open-mmlab/mmdetection;https://github.com/open-mmlab/mmdetection;11896;22/08/18 07:06:06;2;Python;4;338;3787
swisskyrepo/PayloadsAllTheThings;https://github.com/swisskyrepo/PayloadsAllTheThings;18108;18/10/16 07:29:07;3;Python;1;1131;5069
tensorlayer/tensorlayer;https://github.com/tensorlayer/tensorlayer;6296;07/06/16 15:55:16;4;Python;74;465;1388
sqlmapproject/sqlmap;https://github.com/sqlmapproject/sqlmap;18272;26/06/12 09:52:15;8;Python;5;992;3814
RasaHQ/rasa;https://github.com/RasaHQ/rasa;9802;14/10/16 12:27:49;3;Python;48;350;2979
jupyter/jupyter;https://github.com/jupyter/jupyter;11023;04/06/15 21:05:00;5;Python;0;669;2757
crossbario/autobahn-python;https://github.com/crossbario/autobahn-python;2213;27/07/11 15:22:13;9;Python;0;105;593
pytorch/text;https://github.com/pytorch/text;2484;12/12/16 00:56:03;3;Python;9;194;539
pgmpy/pgmpy;https://github.com/pgmpy/pgmpy;1591;20/09/13 08:18:58;7;Python;2;76;522
isocpp/CppCoreGuidelines;https://github.com/isocpp/CppCoreGuidelines;28664;19/08/15 20:22:52;5;Python;4;2073;3705
Uberi/speech_recognition;https://github.com/Uberi/speech_recognition;5103;23/04/14 04:53:54;6;Python;23;288;1701
fabric/fabric;https://github.com/fabric/fabric;12493;01/05/09 01:14:24;11;Python;0;505;1637
vishnubob/wait-for-it;https://github.com/vishnubob/wait-for-it;5618;02/02/16 17:06:22;4;Python;0;93;1502
google-research/bert;https://github.com/google-research/bert;25058;25/10/18 22:57:34;1;Python;0;988;6751
wepe/MachineLearning;https://github.com/wepe/MachineLearning;3884;05/12/14 14:53:17;5;Python;0;423;2766
joaomatosf/jexboss;https://github.com/joaomatosf/jexboss;1615;30/11/14 16:56:15;5;Python;0;98;480
apache/incubator-superset;https://github.com/apache/incubator-superset;30260;21/07/15 18:55:34;5;Python;15;1279;6043
openai/gym;https://github.com/openai/gym;22251;27/04/16 14:59:16;4;Python;5;1021;5890
ajenti/ajenti;https://github.com/ajenti/ajenti;6131;03/03/10 08:04:15;10;Python;16;270;716
statsmodels/statsmodels;https://github.com/statsmodels/statsmodels;5567;12/06/11 17:04:50;9;Python;14;275;1933
beetbox/beets;https://github.com/beetbox/beets;9613;09/08/10 23:17:20;10;Python;31;431;1537
machrisaa/tensorflow-vgg;https://github.com/machrisaa/tensorflow-vgg;1949;16/03/16 22:17:14;4;Python;0;70;949
tensorflow/tensor2tensor;https://github.com/tensorflow/tensor2tensor;10438;15/06/17 16:57:39;3;Python;75;460;2594
pallets/jinja;https://github.com/pallets/jinja;7278;17/10/10 13:41:17;9;Python;7;247;1294
Gallopsled/pwntools;https://github.com/Gallopsled/pwntools;7063;29/04/13 14:43:03;7;Python;42;292;1162
pandas-dev/pandas;https://github.com/pandas-dev/pandas;26712;24/08/10 01:37:33;10;Python;64;1110;10722
Ekultek/WhatWaf;https://github.com/Ekultek/WhatWaf;1587;15/12/17 17:47:45;2;Python;5;74;301
python-poetry/poetry;https://github.com/python-poetry/poetry;12338;28/02/18 15:23:47;2;Python;91;148;889
powerline/powerline;https://github.com/powerline/powerline;11991;12/06/12 12:48:40;8;Python;20;282;873
